First_Name,Last_Name,Birthdate,Gender,Driver_License,Addresses
Tatiana,Ivanov,1969-02-16,Male,False,"[['Kazan', 'Gagarina', 76, 171]]"
Ekaterina,Smirnov,1948-05-10,Female,False,"[['Samara', 'Sovetskaya', 41, 98], ['Moskva', 'Pobedy', 42, 349], ['Nizhniy Novgorod', 'Zhukova', 153, 441]]"
Vera,Smirnov,1961-03-30,Male,False,"[['Omsk', 'Gagarina', 101, 94], ['Kazan', 'Moskovskaya', 125, 87]]"
Natalia,Popov,1942-04-10,Female,True,"[['Moskva', 'Pobedy', 55, 14]]"
Anna,Alekseev,2020-11-14,Female,False,"[['Rostov-na-Donu', 'Pobedy', 55, 399], ['Nizhniy Novgorod', 'Sovetskaya', 62, 116]]"
Sofia,Pavlov,2009-09-24,Male,True,"[['Kazan', 'Gagarina', 84, 426], ['Nizhniy Novgorod', 'Kirova', 119, 441], ['Rostov-na-Donu', 'Kirova', 140, 486]]"
Anna,Sokolov,1994-12-20,Female,False,"[['Samara', 'Zhukova', 153, 410]]"
Aleksey,Egorov,2023-02-13,Female,True,"[['Novosibirsk', 'Zhukova', 139, 410]]"
Andrey,Stepanov,2003-07-17,Male,True,"[['Chelyabinsk', 'Sovetskaya', 53, 486], ['Kazan', 'Pushkina', 19, 288], ['Kazan', 'Zhukova', 163, 418]]"
Maxim,Semenov,2021-12-08,Male,True,"[['Rostov-na-Donu', 'Pobedy', 172, 408], ['Chelyabinsk', 'Mira', 180, 68], ['Ekaterinburg', 'Pobedy', 39, 499]]"
Ekaterina,Alekseev,2004-05-29,Male,False,"[['Ekaterinburg', 'Kirova', 200, 465], ['Omsk', 'Lenina', 76, 324]]"
Mikhail,Smirnov,1969-09-05,Female,True,"[['Chelyabinsk', 'Krasnaya', 68, 57], ['Kazan', 'Moskovskaya', 8, 354], ['Sankt-Peterburg', 'Krasnaya', 46, 64]]"
Anna,Popov,1993-12-15,Male,True,"[['Samara', 'Moskovskaya', 147, 307]]"
Ekaterina,Nikolaev,2023-03-24,Female,False,"[['Novosibirsk', 'Moskovskaya', 152, 323], ['Sankt-Peterburg', 'Moskovskaya', 29, 108], ['Kazan', 'Gagarina', 101, 260]]"
Aleksandr,Smirnov,1982-07-01,Male,True,"[['Samara', 'Moskovskaya', 174, 311]]"
Dmitriy,Volkov,1993-03-14,Male,True,"[['Sankt-Peterburg', 'Krasnaya', 14, 287]]"
Natalia,Vasiliev,1971-12-21,Female,False,"[['Sankt-Peterburg', 'Pushkina', 105, 225]]"
Aleksey,Semenov,1941-12-27,Female,False,"[['Novosibirsk', 'Moskovskaya', 75, 10], ['Novosibirsk', 'Pushkina', 132, 108]]"
Ivan,Popov,2021-11-05,Male,False,"[['Sankt-Peterburg', 'Zhukova', 98, 243], ['Rostov-na-Donu', 'Mira', 123, 336], ['Rostov-na-Donu', 'Mira', 175, 114]]"
Aleksandr,Vasiliev,2020-02-25,Male,False,"[['Novosibirsk', 'Zhukova', 129, 51], ['Chelyabinsk', 'Pobedy', 131, 437], ['Rostov-na-Donu', 'Zhukova', 70, 485]]"
